TYPE_MUSICAL_DOC_ID,TYPE_MUSICAL_DOC_LIB,M19 Categorization,M40 Geographical Context,PERIODE,Autre
8,BIS,,,, M43 P3 has note E62 String
2,ADAPTATION MUSICALE,,,,"F22 R9 realizes F14 Individual Work U47 has derivation type M9 Derivation Type ""adaptation"""
4,ARRANGEMENT,,,,"F22 R9 realizes F14 Individual Work U47 has derivation type M9 Derivation Type ""arrangement"""
124,TRANSCRIPTION,,,,"F22 R9 realizes F14 Individual Work U47 has derivation type M9 Derivation Type ""transcription"""
1,A CAPPELLA,,,,F25 U90 foresees creation or performance mode M50 Creation or Performance Mode {a cappella} (référentiel en cours)
36,IMPROVISATION,,,,F25 U90 foresees creation or performance mode M50 Creation or Performance Mode {improvisation} (référentiel en cours)
99,PIANO A 4 MAINS,,,,F25 U90 foresees creation or performance mode M50 Creation or Performance Mode {piano à quatre mains} (référentiel en cours)
19,COMMANDE RADIO FRANCE,,,,F28 P9 consists of E7 Activity (P14 carried out by F11 Corporate Body {Radio France}) and (U31 had function of type M31 Actor's Function notes  de la M42 {commanditaire}
28,EXTRAIT (MUSIQUE),,,,voir document ITEMA3_MODIFICATIONS
5,AFRO CUBAIN,1,,,
3,AIR,1,,,
9,BLUES,1,,,
10,BOSSA NOVA,1,,,
12,CANTATE,1,,,
13,CHANSON,1,,,
14,CHANT GREGORIEN,1,,,
15,CHOEUR,1,,,
21,CHORO,1,,,
18,COMEDIE MUSICALE,1,,,
17,CONTE MUSICAL,1,,,
20,COUNTRY MUSIC,1,,,
24,CREATION RADIOPHONIQUE,1,,,
25,DANSE,1,,,
26,DIXTUOR,1,,,
27,DUO,1,,,
29,FADO,1,,,
30,FLAMENCO,1,,,
31,FOLK,1,,,
10020,FORRO,1,,,
32,FUNK,1,,,
33,GOSPEL,1,,,
34,HIP HOP,1,,,
35,HORSPIEL,1,,,
39,JAZZ,1,,,
40,JAZZ MANOUCHE,1,,,
41,LIED,1,,,
80,MADRIGAL,1,,,
87,MALOYA,1,,,
55,MELODIE,1,,,
10051,MELODRAME,1,,,
42,MESSE,1,,,
69,MOTET,1,,,
43,MUSETTE,1,,,
45,MUSIQUE ANCIENNE,1,,,
44,MUSIQUE ARABO ANDALOUSE,1,,,
47,MUSIQUE BAROQUE,1,,,
88,MUSIQUE CARNATIQUE,1,,,
48,MUSIQUE CONCERTANTE,1,,,
49,MUSIQUE CONCRETE,1,,,
50,MUSIQUE CONTEMPORAINE,1,,,
46,MUSIQUE DE BALLET,1,,,
51,MUSIQUE DE CHAMBRE,1,,,
52,MUSIQUE DE COUR,1,,,
57,MUSIQUE DE FILM,1,,,
58,MUSIQUE DE GENRE,1,,,
72,MUSIQUE DE SCENE,1,,,
59,MUSIQUE D'HARMONIE,1,,,
53,MUSIQUE ELECTROACOUSTIQUE,1,,,
54,MUSIQUE ELECTRONIQUE,1,,,
56,MUSIQUE EXPERIMENTALE,1,,,
147,MUSIQUE HINDOUSTANIE,1,,,
81,MUSIQUE INSTRUMENTALE,1,,,
60,MUSIQUE KLEZMER,1,,,
63,MUSIQUE LEGERE,1,,,
64,MUSIQUE LYRIQUE,1,,,
142,MUSIQUE MANDINGUE,1,,,
65,MUSIQUE MECANIQUE,1,,,
67,MUSIQUE METISSEE,1,,,
66,MUSIQUE MILITAIRE,1,,,
68,MUSIQUE MIXTE,1,,,
71,MUSIQUE RELIGIEUSE,1,,,
70,MUSIQUE REPETITIVE,1,,,
78,MUSIQUE SAVANTE,1,,,
73,MUSIQUE SPECTRALE,1,,,
74,MUSIQUE SYMPHONIQUE,1,,,
75,MUSIQUE TRADITIONNELLE,1,,,
79,MUSIQUE TZIGANE,1,,,
76,MUSIQUE VOCALE,1,,,
77,MUSIQUES ELECTRONIQUES,1,,,
91,NEW WAVE,1,,,
89,NOEL,1,,,
90,NONET,1,,,
92,NOUBA,1,,,
93,OCTUOR,1,,,
94,OPERA,1,,,
10090,OPERA-BALLET,1,,,
95,OPERA-BOUFFE,1,,,
96,OPERA-COMIQUE,1,,,
97,OPERETTE,1,,,
98,ORATORIO,1,,,
105,PERFORMANCE ARTISTIQUE,1,,,
100,POEME SYMPHONIQUE,1,,,
103,PSAUME,1,,,
102,PUNK,1,,,
106,QUATUOR,1,,,
107,QUINTETTE,1,,,
113,R&B,1,,,
109,RAGGAMUFFIN,1,,,
10040,RAGTIME,1,,,
110,RAP,1,,,
111,REGGAE,1,,,
114,ROCK,1,,,
108,RYTHM AND BLUES,1,,,
115,SALSA,1,,,
116,SEPTUOR,1,,,
117,SEXTUOR,1,,,
10100,SINGSPIEL,1,,,
121,SKETCH,1,,,
120,SLAM,1,,,
118,SOLO,1,,,
119,SOUL,1,,,
122,TANGO,1,,,
123,TECHNO,1,,,
153,THEATRE MUSICAL,1,,,
125,TRIO,1,,,
126,VARIETES,1,,,
127,WORLD MUSIC,1,,,
10030,ZARZUELA,1,,,
128,ZOUK,1,,,
129,AFRIQUE,,1,,
131,AMERIQUE DU SUD,,1,,
6,ANTILLES,,1,,
10001,ARMENIE,,1,,
130,ASIE OCCIDENTALE,,1,,
7,AUVERGNE,,1,,
132,BRESIL,,1,,
11,BRETAGNE,,1,,
10060,BULGARIE,,1,,
10011,CATALOGNE,,1,,
23,CHINE,,1,,
10070,COREE,,1,,
22,CORSE,,1,,
133,COTE D'IVOIRE,,1,,
10002,EGYPTE,,1,,
10010,ESPAGNE,,1,,
134,FRANCE,,1,,
135,GUINEE,,1,,
136,GUINEE BISSAU,,1,,
137,HONGRIE,,1,,
138,INDE,,1,,
10000,IRAK,,1,,
38,IRAN,,1,,
139,ITALIE,,1,,
140,KURDISTAN,,1,,
141,LIMOUSIN,,1,,
144,MADAGASCAR (ILE),,1,,
143,MALI,,1,,
10050,MAURICE (ILE),,1,,
146,MAURITANIE,,1,,
10080,MONGOLIE,,1,,
145,MOZAMBIQUE,,1,,
10061,OCCITANIE,,1,,
104,PAYS BASQUE,,1,,
148,PEROU,,1,,
10062,PORTUGAL,,1,,
149,REPUBLIQUE DEMOCRATIQUE DU CONGO,,1,,
150,RODRIGUES (ILE),,1,,
10063,ROUMANIE,,1,,
151,SENEGAL,,1,,
152,TURQUIE,,1,,
10110,VIETNAM,,1,,
84,MUSIQUE 16EME,,,1,
82,MUSIQUE 17EME,,,1,
83,MUSIQUE 18EME,,,1,
85,MUSIQUE 19EME,,,1,
86,MUSIQUE 20EME (1900-1944),,,1,
61,MUSIQUE 20EME (1945-2000),,,1,
62,MUSIQUE 21EME,,,1,
16,COURS D'INTERPRETATION,,,,
37,IMAGE SONORE,,,,
101,PREMIERE AUDITION,,,,
112,REPETITION (MUSIQUE),,,,